,abstract,bands,circle,figure,gestural,grid,landscape,portrait,rectangle,repetition,shape,square,still_life,symmetry,label,range_Blue,stdev_Blue,skew_Blue,range_Green,stdev_Green,skew_Green,range_Red,stdev_Red,skew_Red,range_Hue,stdev_Hue,skew_Hue,range_Saturation,stdev_Saturation,skew_Saturation,range_Value,stdev_Value,skew_Value
1960.034,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,99.93,0.0,0.02,0.0,0.0,0.01,rectangle,26.0,3.3668883,5.175929069519043,28.0,3.6271546,5.5524373054504395,28.0,3.391165,5.545300006866455,20.0,2.468552,4.787919998168945,17.0,2.4764516,3.9339983463287354,23.0,2.5233285,5.0688958168029785
1960.035,0.0,0.0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,circle,15.0,2.4574504,3.768538475036621,16.0,2.613068,4.020235538482666,21.0,2.7782638,4.668980598449707,12.0,1.841365,3.1326940059661865,15.0,2.0271595,3.6364548206329346,12.0,2.0039024,3.40337872505188
1960.036,0.08,45.16,0.02,0.0,0.01,0.0,0.0,0.0,54.18,0.11,0.3,0.0,0.0,0.14,rectangle,13.0,2.3962862,3.5578012466430664,17.0,2.3782873,3.9201340675354004,18.0,2.3995442,4.015772819519043,21.0,2.4574504,5.216731071472168,18.0,2.402798,4.774119853973389,16.0,2.2482631,3.9860751628875732
1960.037,0.0,0.03,0.0,0.0,0.0,0.71,0.0,0.0,98.98,0.23,0.0,0.05,0.0,0.0,rectangle,42.0,4.3093286,6.898746013641357,49.0,4.6870832,7.555266380310059,48.0,4.80153,7.864053726196289,58.0,4.8685856,8.631711959838867,48.0,4.5706263,7.451610565185547,46.0,4.4677663,7.194587707519531
1960.058,0.0,0.03,0.0,0.0,0.0,10.11,0.0,0.0,0.0,88.51,0.0,0.0,0.0,1.35,repetition,5.0,1.0825318,1.3764030933380127,8.0,1.3139873,2.3476953506469727,7.0,1.4895469,2.2906105518341064,29.0,2.4399025,8.046177864074707,38.0,2.8048508,9.931812286376953,29.0,2.8518085,7.671202182769775
1960.063,0.0,0.02,0.0,0.0,0.0,79.75,0.0,0.0,0.02,19.05,0.0,1.15,0.0,0.02,grid,6.0,1.2778155,1.6765679121017456,7.0,1.4763765,2.2268266677856445,7.0,1.438858,2.2049717903137207,36.0,2.7128167,9.481413841247559,34.0,2.698379,8.495800971984863,29.0,2.6896794,7.504688262939453
1960.064,0.0,0.01,0.0,0.0,0.0,99.93,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,grid,11.0,1.8519416,2.9252684116363525,5.0,1.0752907,1.300716757774353,5.0,1.0716518,1.4806439876556396,6.0,1.1792476,1.7650750875473022,16.0,1.8687396,5.098903656005859,21.0,2.0348525,5.920877456665039
1960.065,0.0,1.19,0.0,0.0,0.0,63.91,0.0,0.0,0.0,34.84,0.02,0.0,0.0,0.02,grid,10.0,1.636975,2.712907314300537,12.0,1.9100883,3.40606689453125,8.0,1.7743837,2.767885208129883,33.0,2.8090255,7.857098579406738,28.0,2.969901,7.013009548187256,30.0,2.8804297,7.219477653503418
1960.077,0.0,0.05,0.0,0.0,0.0,8.74,0.0,0.0,0.0,85.82,0.0,5.35,0.0,0.03,repetition,8.0,1.4973936,2.3019092082977295,14.0,1.767767,3.470479965209961,12.0,1.954562,3.353017568588257,14.0,1.7477664,3.717203378677368,10.0,1.6840242,2.854977607727051,12.0,1.8540496,3.7473251819610596
1960.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,square,5.0,1.0345591,1.3811025619506836,5.0,0.9802742,1.461761236190796,12.0,1.5103807,3.047403573989868,17.0,2.1414802,4.834537506103516,19.0,2.0175016,5.917269229888916,48.0,3.3201563,11.617559432983398
